"y","a","b","c","d","e"
112,1,122,0,8817,6
98,0,108,0,6094,3
109,0,117,1,7642,13
92,0,123,0,6095,3
98,0,108,1,4182,17
98,0,118,0,6096,3
98,0,108,0,2495,4
132,0,130,0,3827,7
132,0,127,0,5508,20
120,0,119,1,915,16
72,0,110,1,2496,4
82,0,125,1,3828,7
109,0,110,1,9781,9
98,0,117,1,10253,10
102,0,126,0,5406,20
92,0,126,0,7643,13
98,0,108,0,10254,10
112,0,130,1,4752,21
92,0,129,0,38,15
98,0,116,0,7644,13
98,0,115,0,40,15
109,0,117,1,4753,21
112,0,124,0,4184,17
120,0,119,1,1824,16
98,1,110,0,8818,6
87,0,124,0,6097,3
92,0,123,0,1887,12
98,0,119,0,917,16
92,0,124,0,11831,2
109,0,108,1,918,16
87,0,108,1,8341,11
87,0,118,1,6098,3
98,0,119,0,5805,20
87,0,115,0,4185,17
92,0,124,0,8819,6
109,0,120,0,9374,1
131,0,118,1,4186,17
106,0,107,1,10255,10
142,0,117,1,3829,7
82,0,126,1,10366,10
87,0,112,1,43,15
NA,0,113,0,42,15
92,0,125,1,1888,12
87,0,108,1,487,5
82,0,129,0,6099,3
87,0,112,1,45,15
109,0,109,1,8820,6
102,0,130,0,6100,3
